" The customer doesn\'t exist in the system anymore"," The customer doesn\'t exist in the system anymore"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"-- Not Selected --","-- Not Selected --"
"-- Please Select --","-- Mơi bạn chọn --"
"-- Please select --","-- Mời bạn chọn --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"-- Please select a category --","-- Mời bạn chọn --"
"--Please Select--","--Mời bạn chọn--"
"1 Hour","1 Gi&#7901;"
"12 Hours","12 Gi&#7901;"
"2 Hours","2 Gi&#7901;"
"24 Hours","24 Gi&#7901;"
"2YTD","Trong 2 n&#259;m qua"
"6 Hours","6 Gi&#7901;"
"<h1 class=""page-heading"">404 Error</h1><p>Kh&ocirc;ng t&igrave;m th&#7845;y trang n&agrave;y.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","M&#7853;t kh&#7849;u m&#7899;i ch&uacute;ng t&ocirc;i &#273;&atilde; g&#7903;i qua email c&#7911;a b&#7841;n, m&#7901;i b&#7841;n ki&#7875;m tra v&agrave; ti&#7871;n h&agrave;nh &#273;&#259;ng nh&#7853;p l&#7841;i."
"API Stability","API Stability"
"API Version","API Version"
"API:","API:"
"Access Denied.","Truy c&#7853;p b&#7883; T&#7915; ch&#7889;i."
"Access Deny","T&#7915; ch&#7889;i truy c&#7853;p"
"Account Created in:","T&#7841;o t&agrave;i kho&#7843;n trong:"
"Account Created on:","T&#7841;o t&agrave;i kho&#7843;n tr&ecirc;n:"
"Account Information","Th&ocirc;ng tin t&agrave;i kho&#7843;n"
"Account status","Trang th&aacute;i t&agrave;i kho&#7843;n"
"Account successfully saved","S&#7917;a th&ocirc;ng tin t&agrave;i kho&#7843;n th&agrave;nh c&ocirc;ng"
"Action","Action"
"Actions","Actions"
"Actions XML","Actions XML"
"Active","Ho&#7841;t &#273;&#7897;ng"
"Add","Add"
"Add Exception","Add Exception"
"Add Field Mapping","Add Field Mapping"
"Add New Image","Th&ecirc;m h&igrave;nh"
"Add New Profile","Th&ecirc;m Profile"
"Add New Role","Th&ecirc;m nh&oacute;m"
"Add New Template","Th&ecirc;m v&agrave;o m&#7851;u m&#7899;i"
"Add New Urlrewrite","Add New Urlrewrite"
"Add New User","Th&ecirc;m User"
"Add Url Rewrite","Add Url Rewrite"
"Add after","Th&ecirc;m v&agrave;o sau khi"
"Add new Role","Th&ecirc;m v&agrave;o Role"
"Address Type:","Lo&#7841;i &#273;&#272;&#7883;a ch&#7881;:"
"Admin","Admin"
"Advanced Profiles","H&#7891; s&#417; th&agrave;nh vi&ecirc;n n&acirc;ng cao"
"Aggregate Order","T&#7893;ng h&#7907;p &#273;&#417;n h&agrave;ng"
"All","T&#7845;t c&#7843;"
"All Allowed Countries","Áp dụng cho tất cả các quốc gia"
"All Files","Tất cả files"
"All Store Views","T&#7845;t c&#7843; Store Views"
"All Tags","T&#7845;t c&#7843; Tags"
"All Websites","T&#7845;t c&#7843; Websites"
"All countries","Tất cả quốc gia"
"All fields","Tất cả fields"
"All possible rates were fetched, click on ""Save"" to apply","T&#7845;t c&#7843; c&aacute;c m&#7913;c gi&aacute; c&oacute; th&#7875; &#273;&#432;&#7907;c t&#7843;i xu&#7889;ng, b&#7845;m v&agrave;o &quot;&quot; L&#432;u &quot;&quot; &#273;&#7875; &aacute;p d&#7909;ng"
"All rates were fetched, click on ""Save"" to apply","T&#7845;t c&#7843; c&aacute;c m&#7913;c gi&aacute; c&oacute; th&#7875; &#273;&#432;&#7907;c t&#7843;i xu&#7889;ng, b&#7845;m v&agrave;o &quot;&quot; L&#432;u &quot;&quot; &#273;&#7875; &aacute;p d&#7909;ng"
"All valid rates successfully saved","T&#7845;t c&#7843; c&aacute;c m&#7913;c gi&aacute; h&#7907;p l&#7879; &#273;&atilde; l&#432;u th&agrave;nh c&ocirc;ng "
"Amounts","S&#7889; ti&#7873;n"
"Any","Một vài"
"Any Attribute Set","B&#7845;t k&#7923; thu&#7897;c t&iacute;nh thi&#7871;t l&#7853;p"
"Any Group","M&#7897;t v&agrave;i nh&oacute;m"
"Any Status","M&#7897;t v&agrave;i tr&#7841;ng th&aacute;i"
"Any Store","M&#7897;t v&agrave;i Store"
"Any Type","Any Type"
"Any Visibility","V&#7883; tr&iacute; hi&#7875;n th&#7883; s&#7843;n ph&#7849;m"
"Api Key","Api Key"
"Api Key Confirmation","Api Key Confirmation"
"Archive file name:","L&#432;u tr&#7919; t&ecirc;n t&#7853;p tin:"
"Are you sure that you want to delete this template?","B&#7841;n c&oacute; ch&#7855;c r&#7857;ng b&#7841;n mu&#7889;n xo&aacute; m&#7851;u n&agrave;y?"
"Are you sure that you want to strip tags?","B&#7841;n c&oacute; ch&#7855;c r&#7857;ng b&#7841;n mu&#7889;n g&#7905; th&#7867;?"
"Are you sure you want to do this?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n l&agrave;m &#273;i&#7873;u n&agrave;y?"
"Are you sure you wish to INSTALL all selected packages?","B&#7841;n c&oacute; ch&#7855;c b&#7841;n mu&#7889;n c&agrave;i &#273;&#7863;t t&#7845;t c&#7843; c&aacute;c g&oacute;i &#273;&#432;&#7907;c l&#7921;a ch&#7885;n ?"
"Are you sure you wish to UNINSTALL all selected packages?","B&#7841;n c&oacute; ch&#7855;c b&#7841;n mu&#7889;n c&agrave;i &#273;&#7863;t t&#7845;t c&#7843; c&aacute;c g&oacute;i &#273;&#432;&#7907;c l&#7921;a ch&#7885;n ?"
"Are you sure you wish to UPGRADE all selected packages?","B&#7841;n c&oacute; ch&#7855;c b&#7841;n mu&#7889;n c&agrave;i &#273;&#7863;t t&#7845;t c&#7843; c&aacute;c g&oacute;i &#273;&#432;&#7907;c l&#7921;a ch&#7885;n ?"
"Area","Area"
"Assigned","&#272;&#432;&#7907;c giao"
"Attribute Set Name:","&#272;&#7863;t t&ecirc;n thu&#7897;c t&iacute;nh:"
"Attribute set successfully saved.","Thu&#7897;c t&iacute;nh thi&#7871;t l&#7853;p  &#273;&atilde; l&#432;u th&agrave;nh c&ocirc;ng."
"Attribute set was successfully removed.","Thu&#7897;c t&iacute;nh &#273;&atilde; &#273;&#432;&#7907;c thi&#7871;t l&#7853;p xo&aacute; b&#7887; th&agrave;nh c&ocirc;ng."
"Available Version","Phi&ecirc;n b&#7843;n c&oacute; s&#7861;n"
"Average Order Amount","Trung b&igrave;nh s&#7889; ti&#7873;n &#273;&#7863;t h&agrave;ng"
"Average Orders","Trung b&igrave;nh &#273;&#417;n &#273;&#7863;t h&agrave;ng"
"Back","Quay l&#7841;i"
"Back to Login","Quay l&#7841;i trang &#273;&#259;ng nh&#7853;p"
"Back to local packages","Quay tr&#7903; l&#7841;i g&oacute;i &#273;&#7883;a ph&#432;&#417;ng"
"Backup","Backup"
"Backup record was deleted","D&#7919; li&#7879;u Backup &#273;&atilde; &#273;&#432;&#7907;c x&oacute;a"
"Backup successfully created","D&#7919; li&#7879;u Backup &#273;&atilde; &#273;&#432;&#7907;c t&#7841;o"
"Backups","Backups"
"Base currency","C&#417; s&#7903; ti&#7873;n t&#7879;"
"Bcc","Bcc"
"Bestsellers","B&aacute;n ch&#7841;y nh&#7845;t"
"Big Image","H&igrave;nh l&#7899;n"
"Billing Address","&#272;&#7883;a ch&#7881; thanh to&aacute;n"
"Billing address","&#272;&#7883;a ch&#7881; thanh to&aacute;n"
"Block Information","Th&ocirc;ng tin Block"
"Both (without and with tax)","Both (without and with tax)"
"Browse Available Extensions","Tr&igrave;nh duy&#7879;t c&oacute; s&#7861;n m&#7903; r&#7897;ng"
"Browse Available Remote Extensions","Browse Available Remote Extensions"
"Browse Files...","M&#7903; Files..."
"Bundle Items","M&#7909;c bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle t&ugrave;y bi&#7871;n  v&#7899;i gi&aacute; c&oacute; th&#7875; kh&ocirc;ng bao g&#7891;m c&aacute;c tu&#7923; ch&#7885;n tu&#7923; ch&#7881;nh &#273;&#432;&#7907;c x&aacute;c &#273;&#7883;nh. Tu&#7923; ch&#7885;n s&#7869; kh&ocirc;ng &#273;&#432;&#7907;c l&#432;u."
"CRITICAL","Quan tr&#7885;ng"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separated"
"Cache Management"," Qu&#7843;n l&yacute; Cache"
"Can not add new comment.","B&#7841;n kh&ocirc;ng th&#7875; th&ecirc;m l&#7901;i b&igrave;nh."
"Can not add tracking number.","Kh&ocirc;ng th&#7875; th&ecirc;m s&#7889; theo d&otilde;i."
"Can not delete tracking number.","C&oacute; th&#7875; kh&ocirc;ng xo&aacute; s&#7889; theo d&otilde;i."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Kh&ocirc;ng th&#7875; l&agrave;m cho h&oacute;a &#273;&#417;n &#273;&#7863;t h&agrave;ng"
"Can not do shipment for order.","Kh&ocirc;ng th&#7875; l&agrave;m cho l&ocirc; h&agrave;ng theo &#273;&#417;n h&agrave;ng n&agrave;y."
"Can not initialize shipment for adding tracking number.","Kh&ocirc;ng th&#7875; kh&#7903;i t&#7841;o th&ecirc;m s&#7889; theo d&otilde;i cho c&aacute;c l&ocirc; h&agrave;ng."
"Can not initialize shipment for delete tracking number.","C&oacute; th&#7875; kh&#7903;i t&#7841;o th&ecirc;m s&#7889; theo d&otilde;i cho c&aacute;c l&ocirc; h&agrave;ng."
"Can not load track with retrieving identifier.","C&oacute; th&#7875; kh&ocirc;ng &#273;&#432;&#7907;c n&#7841;p theo d&otilde;i v&#7899;i l&#7845;y &#273;&#7883;nh danh."
"Can not retrieve tracking number detail.","C&oacute; th&#7875; kh&ocirc;ng truy theo chi ti&#7871;t s&#7889; theo d&otilde;i."
"Can not save credit memo","Can not save credit memo"
"Can not save invoice","Kh&ocirc;ng th&#7875; l&#432;u h&oacute;a &#273;&#417;n n&agrave;y"
"Can not save shipment.","Can not save shipment."
"Can not send shipment information.","Kh&ocirc;ng th&#7875; g&#7917;i th&ocirc;ng tin l&ocirc; h&agrave;ng."
"Can not update item qty","Kh&ocirc;ng th&#7875; c&#7853;p nh&#7853;t s&#7889; l&#432;&#7907;ng m&#7863;t h&agrave;ng"
"Can't delete design change","Can't delete design change"
"Can\'t find email address.","Can\'t find email address."
"Card Verification Number","Card Verification Number"
"Catalog","Nh&oacute;m h&agrave;ng"
"Catalog Rewrites","M&atilde; h&oacute;a link cho nh&oacute;m s&#7843;n ph&#7849;m"
"Catalog Rewrites was refreshed succesfuly","Catalog Rewrites was refreshed succesfuly"
"Category","Nh&oacute;m h&agrave;ng"
"New Root Category", "Tạo nhóm chính"
"Add Root Category","Tạo nhóm chính"
"Add Subcategory", "T&#7841;o nh&oacute;m con"
"Display Settings","T&ugrave;y ch&#7881;nh hi&#7875;n th&#7883;"
"Is Active", "Hi&#7879;u l&#7921;c"
"Changelog","Changelog"
"Channel","Channel"
"Channel:","Channel:"
"Checkbox","Checkbox"
"Choose Store View","Ch&#7885;n ng&ocirc;n ng&#7919;"
"Choose an attribute","Ch&#7885;n m&#7897;t thu&#7897;c t&iacute;nh"
"Clear","Clear"
"Comment text field can not be empty.","B&igrave;nh lu&#7853;n tr&#432;&#7901;ng v&#259;n b&#7843;n c&oacute; th&#7875; kh&ocirc;ng &#273;&#432;&#7907;c tr&#7889;ng r&#7895;ng."
"Comments History","L&#7883;ch s&#7917; C&aacute;c &yacute; ki&#7871;n"
"Complete","Complete"
"Configuration","C&#7845;u h&igrave;nh"
"Configuration successfully saved","C&#7845;u h&igrave;nh &#273;&#432;&#7907;c l&#432;u th&agrave;nh c&ocirc;nged"
"Confirmed email:","X&aacute;c nh&#7853;n email:"
"Conflicts","Xung &#273;&#7897;t"
"Connect with the Magento Community","Connect with the aiSHOP Community"
"Contents","Contents"
"Convert to Plain Text","Chuy&#7875;n &#273;&#7893;i v&#259;n b&#7843;n g&#7889;c"
"Cookie (Unsafe)","Cookie (Unsafe)"
"Country","Qu&#7889;c gia"
"Country:","Qu&#7889;c gia:"
"Coupon Code","M&atilde; s&#7889; phi&#7871;u gi&#7843;m gi&aacute;"
"Coupons","Phi&#7871;u gi&#7843;m gi&aacute;"
"Create","T&#7841;o m&#7899;i"
"Create Extension Package","T&#7841;o m&#7903; r&#7897;ng tr&#7885;n g&oacute;i"
"Create New Attribute","T&#7841;o  thu&#7897;c t&iacute;nh m&#7899;i"
"Create Urlrewrite for","Create Urlrewrite for"
"Created At","T&#7841;o T&#7841;i"
"Credit Card Number","S&#7889; th&#7867; t&iacute;n d&#7909;ng"
"Credit Card Number: xxxx-%s","S&#7889; th&#7867; t&iacute;n d&#7909;ng: xxxx-%s"
"Credit Card Type","Lo&#7841;i th&#7867; t&iacute;n d&#7909;ng"
"Credit Card Type: %s","Lo&#7841;i th&#7867; t&iacute;n d&#7909;ng: %s"
"Credit Memo #%s comment added","Credit Memo #%s comment added"
"Credit Memo #%s created","Credit Memo #%s created"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit Memo cancel error.","Credit Memo cancel error."
"Credit Memo total must be positive.","Credit Memo total must be positive."
"Credit Memo void error","Credit Memo void error"
"Credit Memo was successfully canceled.","Credit Memo was successfully canceled."
"Credit Memo was successfully created","Credit Memo was successfully created"
"Credit Memo was successfully voided","Credit Memo was successfully voided"
"Currency","Ngo&#7841;i t&#7879;"
"Currency Information","Th&ocirc;ng tin ngo&#7841;i t&#7879;"
"Current Configuration Scope:","Ph&#7841;m vi c&#7845;u h&igrave;nh hi&#7879;n t&#7841;i:"
"Current Release Information","Ra m&#7855;t th&ocirc;ng tin hi&#7879;n th&#7901;i"
"Custom","T&ugrave;y ch&#7885;n"
"Customer","Kh&aacute;ch h&agrave;ng"
"Customer Group:","Nh&oacute;m kh&aacute;ch h&agrave;ng:"
"Customer Name","T&ecirc;n nh&oacute;m"
"Customer Since:","K&#7875; t&#7915; kh&aacute;ch h&agrave;ng:"
"Customer was deleted","Kh&aacute;ch h&agrave;ng &#273;&atilde; &#273;&#432;&#7907;c x&oacute;a"
"Customer was successfully saved","Kh&aacute;ch h&agrave;ng &#273;&atilde; &#273;&#432;&#7907;c l&#432;u l&#7841;i"
"Customer with the same email already exists.","Kh&aacute;ch h&agrave;ng v&#7899;i c&ugrave;ng m&#7897;t email &#273;&atilde; t&#7891;n t&#7841;i."
"Customers","Kh&aacute;ch h&agrave;ng"
"Dashboard","B&#7843;ng &#273;i&#7873;u khi&#7875;n"
"Data Format","C&#7845;u h&igrave;nh th&#7901;i gian"
"Data transfer:","Data transfer:"
"Date","Date"
"Date & Time","Date & Time"
"Date Added","Ng&agrave;y vi&#7871;t"
"Date Updated","Ng&agrave;y c&#7853;p nh&#7853;t"
"Date selector","Date selector"
"Date:","Ng&agrave;y:"
"Decimal separator:","T&aacute;ch s&#7889; l&#7867;:"
"Default (Admin) Values","Default (Admin) Values"
"Default Config","C&#7845;u h&igrave;nh chu&#7849;n"
"Default Template from Locale","M&#7863;c &#273;&#7883;nh m&#7851;u t&#7915; &#273;&#7883;a ph&#432;&#417;ng"
"Default Values","Gi&aacute; tr&#7883; m&#7863;c &#273;&#7883;nh"
"Default scope","Ph&#7841;m vi m&#7863;c &#273;&#7883;nh"
"Delete","X&oacute;a"
"Delete Profile","X&oacute;a Profile"
"Delete Role","X&oacute;a Role"
"Delete Sitemap","X&oacute;a Sitemap"
"Delete Store View","X&oacute;a Store View"
"Delete Template","X&oacute;a Template"
"Delete Url","X&oacute;a Url"
"Delete User","X&oacute;a User"
"Delete Website","X&oacute;a Website"
"Dependencies","Ph&#7909; thu&#7897;c"
"Description","Th&ocirc;ng tin chi ti&#7871;t"
"Description:","Th&ocirc;ng tin chi ti&#7871;t:"
"Design","Thi&#7871;t k&#7871; hi&#7875;n th&#7883;"
"Design change deleted","Thi&#7871;t k&#7871; thay &#273;&#7893;i &#273;&atilde; b&#7883; x&oacute;a"
"Design change saved","Thi&#7871;t k&#7871; thay &#273;&#7893;i &#273;&atilde; &#273;&#432;&#7907;c l&#432;u"
"Direction:","H&#432;&#7899;ng:"
"Disable","Disable"
"Disabled","Disabled"
"Discount Amount","S&#7889; l&#432;&#7907;ng gi&#7843;m gi&aacute;"
