"# of Use","# of Use"
"%s Item(s)","%s m&#7863;t h&agrave;ng"
"(Copy data from: %s)","(Sao ch&eacute;p d&#7919; li&#7879;u t&#7915;: %s)"
"(Will make search for the query above return results for this search.)","(S&#7869; l&agrave;m cho t&igrave;m ki&#7871;m cho c&aacute;c truy v&#7845;n tr&ecirc;n &#273;&#432;a ra k&#7871;t qu&#7843; cho t&igrave;m ki&#7871;m n&agrave;y.)"
"-- Please Select --","-- Mời chọn --"
"A name is required","M&#7897;t t&ecirc;n l&agrave; b&#7855;t bu&#7897;c"
"ALL GROUPS","T&#7845;t c&#7843; GROUPS"
"Action","Action"
"Add Attribute","Th&ecirc;m thu&#7897;c t&iacute;nh"
"Add Design Change","Th&ecirc;m v&agrave;o thay &#273;&#7893;i thi&#7871;t k&#7871;"
"Add Group","Th&ecirc;m nh&oacute;m"
"Add Items to Cart","Th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng"
"Add New","Th&ecirc;m m&#7899;i"
"Add New Attribute","Th&ecirc;m thu&#7897;c t&iacute;nh"
"Add New Attribute Set","Th&ecirc;m thu&#7897;c t&iacute;nh thi&#7871;t l&#7853;p m&#7899;i"
"Add New Group","Th&ecirc;m nh&oacute;m"
"Add New Images","Th&ecirc;m h&igrave;nh"
"Add New Option","Th&ecirc;m c&#7845;u h&igrave;nh"
"Add New Row","Add New Row"
"Add New Search Term","Th&ecirc;m &#273;i&#7873;u ki&#7879;n t&igrave;m ki&#7871;m"
"Add New Set","Add New Set"
"Add Option","Th&ecirc;m c&#7845;u h&igrave;nh"
"Add Product","Th&ecirc;m s&#7843;n ph&#7849;m"
"Add Product To Websites","Th&ecirc;m s&#7843;n ph&#7849;m cho website"
"Add Tier","Th&ecirc;m v&agrave;o B&#7853;c"
"Add to Cart","&#272;&#7863;t mua"
"Add to Compare","So s&aacute;nh"
"Add to My Wishlist","L&#432;u l&#7841;i"
"Add to Wishlist","L&#432;u l&#7841;i"
"Xem chi tiet","Xem chi ti&#7871;t"
"Additional Information","Th&ocirc;ng tin k&#7929; thu&#7853;t"
"All","Xem hết"
"All Product Types","T&#7845;t c&#7843; lo&#7841;i s&#7843;n ph&#7849;m"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","T&#7845;t c&#7843; c&aacute;c s&#7843;n ph&#7849;m c&#7911;a thi&#7871;t l&#7853;p n&agrave;y s&#7869; b&#7883; xo&aacute;! B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n xo&aacute; n&agrave;y thi&#7871;t l&#7853;p thu&#7897;c t&iacute;nh?"
"Apply To","&#272;&#7889;i t&#432;&#7907;ng &aacute;p d&#7909;ng"
"Apply To Configurable/Grouped Product","&Aacute;p d&#7909;ng cho c&aacute;c c&#7845;u h&igrave;nh / nh&oacute;m s&#7843;n ph&#7849;m"
"Approved","&#272;&#432;&#7907;c ch&#7845;p thu&#7853;n"
"Are you sure you want to delete this category?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n x&oacute;a danh m&#7909;c n&agrave;y?"
"Are you sure you would like to remove all item from compare products?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n x&oacute;a t&#7845;t c&#7843; c&aacute;cs&#7843;n ph&#7849;m trong m&#7909;c so s&aacute;nh s&#7843;n ph&#7849;m?"
