"%s was successfully added to your shopping cart.","%s &#273;&atilde; &#273;&#432;&#7907;c th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng c&#7911;a b&#7841;n."
"&laquo; Back to Billing Information","&laquo; Quay l&#7841;i trang th&ocirc;ng tin thanh to&aacute;n"
"&laquo; Back to Select Addresses","&laquo; Quay l&#7841;i ch&#7885;n &#273;&#7883;a ch&#7881;"
"&laquo; Back to Shopping Cart","&laquo; Quay l&#7841;i gi&#7887; h&agrave;ng"
"* Required Fields","* Y&ecirc;u c&#7847;u nh&#7853;p th&ocirc;ng tin"
"Add New Address","Th&ecirc;m &#273;&#7883;a ch&#7881;"
"Add New Condition","Th&ecirc;m v&agrave;o &#273;i&#7873;u ki&#7879;n m&#7899;i"
"Add to Cart","&#272;&#7863;t mua"
"Add to Compare","So s&aacute;nh"
"Add to Wishlist","L&#432;u l&#7841;i"
"Address","&#272;&#7883;a ch&#7881;"
"Address %s of %s","&#272;&#7883;a ch&#7881; %s c&#7911;a %s"
"After adding a product redirect to shopping cart","Sau khi th&ecirc;m s&#7843;n ph&#7849;m s&#7869; t&#7921; &#273;&#7897;ng chuy&#7875;n t&#7899;i gi&#7887; h&agrave;ng"
"Allow Guest Checkout","Cho ph&eacute;p kh&aacute;ch th&#7921;c hi&#7879;n thanh to&aacute;n"
"Already registered?","B&#7841;n &#273;&atilde; &#273;&#259;ng k&yacute; ch&#432;a?"
"An error occurred in the process of payment","M&#7897;t l&#7895;i x&#7843;y ra trong qu&aacute; tr&igrave;nh thanh to&aacute;n"
"Apply Coupon","&Aacute;p d&#7909;ng phi&#7871;u"
"Are you sure you would like to remove this item from the shopping cart?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n xo&aacute; b&#7887; m&#7909;c n&agrave;y t&#7915; c&aacute;c gi&#7887; mua h&agrave;ng?"
"Back","Quay l&#7841;i"
"Back to Shipping Information","Quay l&#7841;i trang th&ocirc;ng tin v&#7853;n chuy&#7875;n"
"Based on your selection, you may be interested in the following items:","D&#7921;a tr&ecirc;n s&#7921; l&#7921;a ch&#7885;n c&#7911;a b&#7841;n, b&#7841;n c&oacute; th&#7875; &#273;&#432;&#7907;c &#432;u &#273;&atilde;i v&#7899;i c&aacute;c m&#7863;t h&agrave;ng b&#7841;n ch&#7885;n:"
"Billing Address","&#272;&#7883;a ch&#7881; thanh to&aacute;n"
"Billing Information","Th&ocirc;ng tin thanh to&aacute;n"
"Billing Information - %s","Th&ocirc;ng tin thanh to&aacute;n - %s"
"Can not add item to shopping cart","Kh&ocirc;ng th&#7875; s&#7843;n ph&#7849;m v&agrave;o gi&#7887; h&agrave;ng &#273;&#7875; mua s&#7855;m"
"Can not apply coupon code.","Kh&ocirc;ng th&#7875; &aacute;p d&#7909;ng phi&#7871;u mua h&agrave;ng."
"Can\'t open overview page","Kh&ocirc;ng th&#7875; m&#7903; trang t&#7893;ng quan"
"Cancel Coupon","H&#7911;y b&#7887; phi&#7871;u gi&#7843;m gi&aacute;"
"Cannot remove item","Kh&ocirc;ng th&#7875; g&#7905; b&#7887; m&#7863;t h&agrave;ng"
"Cannot update shopping cart","Kh&ocirc;ng th&#7875; c&#7853;p nh&#7853;t gi&#7887; h&agrave;ng"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","T&#7893;ng ti&#7873;n:"
"Change Billing Address","S&#7917;a"
"Change Payment Method","S&#7917;a"
"Change Shipping Address","S&#7917;a"
"Change Shipping Method","S&#7917;a"
"Checkbox text","Checkbox text"
"Checkout","Thanh to&aacute;n"
"Checkout Conditions","&#272;i&#7873;u ki&#7879;n Thanh to&aacute;n"
"Checkout Options","C&#7845;u h&igrave;nh thanh to&aacute;n"
"Checkout Terms and Conditions","Th&#7887;a thu&#7853;n khi mua h&agrave;ng"
"Checkout as Guest","Thanh to&aacute;n kh&ocirc;ng c&#7847;n &#273;&#259;ng k&yacute;"
"Checkout as a Guest or Register","Thanh to&aacute;n nh&#432; l&agrave; m&#7897;t Kh&aacute;ch ho&#7863;c &#272;&#259;ng k&yacute;"
"Checkout Method", "&#272;&#259;ng nh&#7853;p h&#7879; th&#7889;ng"
"Checkout method", "&#272;&#259;ng nh&#7853;p h&#7879; th&#7889;ng"
"Checkout with Multiple Addresses","&#272;&#7863;t h&agrave;ng v&#7899;i nhi&#7873;u &#273;&#7883;a ch&#7881;"
"City","Qu&#7853;n/Huy&#7879;n"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">v&agrave;o &#273;&acirc;y &#273;&#7875; in</a> th&ocirc;ng tin &#273;&#417;n h&agrave;ng n&agrave;y."
"Close","&#272;&oacute;ng"
"Company","N&#417;i c&ocirc;ng t&aacute;c"
"Condition Name","T&ecirc;n &#272;i&#7873;u ki&#7879;n"
