"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"Action","Action"
"Add New Block","Th&ecirc;m Block"
"Add New Page","Th&ecirc;m Page"
"All countries","T&#7845;t c&#7843; qu&#7889;c gia"
"Block Information","Th&ocirc;ng tin Block"
"Block Title","T&ecirc;n Block"
"Block was successfully deleted","Block was successfully deleted"
"Block was successfully saved","Block was successfully saved"
"CMS","Qu&#7843;n l&yacute; CMS"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"Content","Content"
"Custom Design","Custom Design"
"Custom Theme","Custom Theme"
"Custom Theme From","Custom Theme From"
"Custom Theme To","Custom Theme To"
"Customer Tax Class Information","Customer Tax Class Information"
"Date Created","Date Created"
"Delete Block","Delete Block"
"Delete Page","Delete Page"
"Description","N&#7897;i dung"
"Disabled","Disabled"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Block","Edit Block"
"Edit Block '%s'","Edit Block '%s'"
"Edit Page","Edit Page"
"Edit Page '%s'","Edit Page '%s'"
"Enabled","Enabled"
"General Information","Th&ocirc;ng tin chung"
"Go to Home Page","Quay l&#7841;i trang ch&#7911;"
"Home","Trang chủ"
"Identifier","Identifier"
"Keywords","Keywords"
"Last Modified","Last Modified"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Manage Pages","Qu&#7843;n l&yacute; Pages"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","New Block"
"New Page","New Page"
"Page Identifier cannot consist only of numbers.","Page Identifier cannot consist only of numbers."
"Page Identifier for specified store already exist.","Page Identifier for specified store already exist."
"Page Information","Th&ocirc;ng tin Page"
"Page Status","Trang th&aacute;i Page"
"Page Title","Ti&ecirc;u &#273;&#7873;"
"Page was successfully deleted","Page was successfully deleted"
"Page was successfully saved","Page was successfully saved"
"Poll Manager","Poll Manager"
"Preview","Preview"
"Product Tax Class Information","Product Tax Class Information"
"SEF URL Identifier","SEF URL Identifier"
"Save Block","Save Block"
"Save Page","Save Page"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","Static Blocks"
"Status","Status"
"Store View","Store View"
"Such a block identifier in selected store already exist.","Such a block identifier in selected store already exist."
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This block no longer exists","This block no longer exists"
"This page no longer exists","This page no longer exists"
"Title","Title"
"Unable to find a block to delete","Unable to find a block to delete"
"Unable to find a page to delete","Unable to find a page to delete"

