"* Required Fields","* Y&ecirc;u c&#7847;u nh&#7853;p th&ocirc;ng tin"
"Comment","N&#7897;i dung li&ecirc;n h&#7879;"
"Contact Form","From li&ecirc;n h&#7879;"
"Contact Information","Th&ocirc;ng tin li&ecirc;n h&#7879;"
"Contact Us","Li&ecirc;n h&#7879;"
"Contacts","Li&ecirc;n h&#7879;"
"Email","Email c&#7911;a b&#7841;n"
"Email Options","C&#7845;u h&igrave;nh Email"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enable Contact Us","Enable Contact Us"
"Name","T&ecirc;n c&#7911;a b&#7841;n"
"Send Emails To","Send Emails To"
"Submit","G&#7903;i &#273;i"
"Telephone","&#272;i&#7879;n tho&#7841;i li&ecirc;n l&#7841;c"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
