"%s already exist","%s &#273;&atilde; t&#7891;n t&#7841;i"
"%s already exists","%s &#273;&atilde; t&#7891;n t&#7841;i"
"-- Please Select --","-- Hãy chọn --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Advanced"
"Allow countries","T&#7845;t c&#7843; qu&#7889;c gia"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Are you sure?","Are you sure?"
"Back","Back"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","Tr&#432;&#7899;c khi s&#7917;a &#273;&#7893;i nh&#7919;ng c&#7917;a h&agrave;ng xem m&atilde; xin vui l&ograve;ng ch&#7855;c ch&#7855;n r&#7857;ng n&oacute; kh&ocirc;ng &#273;&#432;&#7907;c s&#7917; d&#7909;ng trong index.php"
"Before modifying the website code please make sure that it is not used in index.php","Tr&#432;&#7899;c khi s&#7917;a &#273;&#7893;i m&atilde; trang web xin vui l&ograve;ng ch&#7855;c ch&#7855;n r&#7857;ng n&oacute; kh&ocirc;ng &#273;&#432;&#7907;c s&#7917; d&#7909;ng trong index.php"
"Block with name ""%s"" already exists","Block with name ""%s"" &#273;&atilde; t&#7891;n t&#7841;i"
"Can't retrieve request object","C&oacute; th&#7875; kh&ocirc;ng l&#7845;y c&aacute;c y&ecirc;u c&#7847;u &#273;&#7889;i t&#432;&#7907;ng"
"Can\'t retrieve entity config: %s","Kh&ocirc;ng th&#7875; l&#7845;y c&aacute;c c&#7845;u h&igrave;nh t&#7893; ch&#7913;c: %s"
"Cancel","Cancel"
"Cannot Delete Email Template","Kh&ocirc;ng th&#7875; xo&aacute; email m&#7851;u"
"Code","Code"
"Controller file was loaded but class does not exist","Ki&#7875;m so&aacute;t t&#7853;p tin &#273;&atilde; &#273;&#432;&#7907;c n&#7841;p nh&#432;ng l&#7899;p  kh&ocirc;ng t&#7891;n t&#7841;i"
"Cookie Domain","Cookie T&ecirc;n mi&#7873;n"
"Cookie Lifetime","Th&#7901;i gian l&#432;u Cookie"
"Cookie Path","&#272;&#432;&#7901;ng d&#7851;n Cookie"
"Countries options","C&aacute;c n&#432;&#7899;c tu&#7923; ch&#7885;n"
"Create Store","T&#7841;o Store"
"Create Store View","T&#7841;o Store View"
"Create Website","T&#7841;o Website"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Current package name","Current package name"
"Custom Design","Thi&#7871;t k&#7871; Tu&#7923; ch&#7881;nh"
"Custom admin URL","Custom admin URL"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","Tr&#7907; gi&uacute;p kh&aacute;ch h&agrave;ng"
"Database was successfuly backed up.","C&#417; s&#7903; d&#7919; li&#7879;u &#273;&atilde; &#273;&#432;&#7907;c sao l&#432;u."
"Date From","T&#7915; ng&agrave;y"
"Date To","T&#7899;i ng&agrave;y"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","M&#7863;c &#273;&#7883;nh"
"Default Pages","Default Pages"
"Default Store","Default Store"
"Default Store View","Default Store View"
"Default country","Default country"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Delete","Delete"
"Delete Store","Delete Store"
"Delete Store View","Delete Store View"
"Delete Website","Delete Website"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website."
"Design","Thi&#7871;t k&#7871; giao di&#7879;n"
"Design Change","&#272;&#7893;i giao di&#7879;n"
"Developer","Developer"
"Developer Client Restrictions","Ph&aacute;t tri&#7875;n kh&aacute;ch h&agrave;ng h&#7841;n ch&#7871;"
"Disable email communications","V&ocirc; hi&#7879;u ho&aacute; li&ecirc;n l&#7841;c qua email"
"Disable modules output","Disable modules output"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Edit Design Change","Edit Design Change"
"Edit Store","Edit Store"
"Edit Store View","Edit Store View"
"Edit Website","Edit Website"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enabled","Enabled"
"Enabled for Admin","Hi&#7879;u l&#7921;c cho admin"
"Enabled for Frontend","Hi&#7879;u l&#7921;c cho ng&#432;&#7901;i d&ugrave;ng"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"Error while saving. Please try again later.","Error while saving. Please try again later."
"Error: Passwords do not match","Error: Passwords do not match"
"Exception Log File Name","Exception Log File Name"
"File Name","File Name"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Forgot Password Email Sender","Forgot Password Email Sender"
"Forgot Password Email Template","Forgot Password Email Template"
"General","M&ocirc; t&#7843; chung"
"General Settings","C&agrave;i &#273;&#7863;t chung"
"General contact","Li&ecirc;n h&#7879; chung"
"Global","To&agrave;n h&#7879; th&#7889;ng"
"Host","Host"
"Id path for specified store","Id path for specified store"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid block: %s","Invalid block: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Layout","Layout"
"Leave empty for access from any location","Leave empty for access from any location"
"Locale","Locale"
"Locale options","Locale options"
"Manage Stores","Qu&#7843;n l&yacute; Stores"
"Match expresions in the same order as displayed in the configuration.","Match expresions in the same order as displayed in the configuration."
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Name","Name"
"New Design Change","New Design Change"
"New Store","New Store"
"New Store View","New Store View"
"New Website","New Website"
"Package","Package"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address. For example johndoe@domain.com.","M&#7901;i b&#7841;n nh&#7853;p l&#7841;i email theo &#273;&#7883;nh d&#7841;ng nh&#432;: hai@tendomain (hai@magentovienam.com)."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","Please enter valid password."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Please select State/Province."
"Please select an option.","Please select an option."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","&#272;ang &#273;&#7885;c d&#7919; li&#7879;u..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Request path for specified store","Request path for specified store"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resource is not set"
"Root Category","Danh m&#7909;c ch&iacute;nh"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Sales representative","Sales representative"
"Save","L&#432;u"
"Save Store","Save Store"
"Save Store View","Save Store View"
"Save Website","Save Website"
"Search Engines Optimization","Search Engines Optimization"
"Secure","Secure"
"Sender email","Sender email"
"Sender name","Sender name"
"Services","Services"
"Session Cookie management","Session Cookie management"
"Set as default","Set as default"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Sort order","Sort order"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date can\'t be greater than end date","Start date can\'t be greater than end date"
"Startup page","Startup page"
"Status","Status"
"Store","Store"
"Store Email Addresses","Store Email Addresses"
"Store Information","Th&ocirc;ng tin Store"
"Store Name","Store Name"
"Store View Information","Th&ocirc;ng tin Store View"
"Store View Name","Store View Name"
"Store View not exists","Store View not exists"
"Store View was successfully deleted.","Store View was successfully deleted."
"Store View was successfully saved","Store View was successfully saved"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Store not exists","Store not exists"
"Store was successfully deleted.","Store was successfully deleted."
"Store was successfully saved","Store was successfully saved"
"Store with the same code","Store with the same code"
"Stores","Stores"
"System","H&#7879; th&#7889;ng"
"Template Path Hints","Template Path Hints"
"Templates","Templates"
"Themes","Themes"
"This Store View cannot be deleted","This Store View cannot be deleted"
"This Store View cannot be deleted.","This Store View cannot be deleted."
"This Store cannot be deleted","This Store cannot be deleted"
"This Store cannot be deleted.","This Store cannot be deleted."
"This Website cannot be deleted","This Website cannot be deleted"
"This Website cannot be deleted.","This Website cannot be deleted."
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","This category only"
"This is a required field.","This is a required field."
"Timezone","Timezone"
"Translations","Translations"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Unable to delete Store View. Please, try again later.","Unable to delete Store View. Please, try again later."
"Unable to delete Store. Please, try again later.","Unable to delete Store. Please, try again later."
"Unable to delete Website. Please, try again later.","Unable to delete Website. Please, try again later."
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Unknown scope ""%s""","Unknown scope ""%s"""
"Unsecure","Unsecure"
"Url Options","Url Options"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Use custom admin URL","Use custom admin URL"
"Web","Web"
"Website","Website"
"Website Information","Website Information"
"Website Name","Website Name"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website not exists","Website not exists"
"Website was successfully deleted.","Website was successfully deleted."
"Website was successfully saved","Website was successfully saved"
"Website with the same code","Website with the same code"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
