"* Required Fields","* Y&ecirc;u c&#7847;u nh&#7853;p th&ocirc;ng tin"
"Add","Add"
"Add Gift Message","Add Gift Message"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Are you sure?","Are you sure?"
"Cancel","Cancel"
"Check this checkbox if you want to add gift messages to your items.","Check this checkbox if you want to add gift messages to your items."
"Check this checkbox if you want to add gift messages.","Click ch&#7885;n v&agrave;o check box n&agrave;y &#273;&#7875; vi&#7871;t n&#7897;i dung tin nh&#7855;n."
"Close","Close"
"Do you have any gift items in your order?","B&#7841;n c&oacute; mu&#7889;n g&#7903;i k&egrave;m tin nh&#7855;n t&#7899;i ng&#432;&#7901;i nh&#7853;n l&ocirc; h&agrave;ng n&agrave;y?"
"Edit","Edit"
"Edit Gift Message","Edit Gift Message"
"Enter a gift message for each item in your order.","Enter a gift message for each item in your order."
"Enter a gift message for entire order.","Nh&#7853;p n&#7897;i dung tin nh&#7855;n b&#7841;n mu&#7889;n g&#7903;i k&egrave;m theo l&ocirc; h&agrave;ng n&agrave;y."
"Enter a gift message for this address.","Nh&#7853;p n&#7897;i dung tin nh&#7855;n b&#7841;n mu&#7889;n g&#7903;i k&egrave;m theo &#273;&#7883;a ch&#7881; n&agrave;y."
"Error while saving gift message","Error while saving gift message"
"From","Ng&#432;&#7901;i g&#7903;i"
"Gift Message","Gift Message"
"Gift Messages","Gift Messages"
"Gift message has been successfully saved","Gift message has been successfully saved"
"Item %d of %d","Item %d of %d"
"Message","Message"
"No","No"
"Remove","Remove"
"Save","Save"
"Save Gift Message","Save Gift Message"
"To","Ng&#432;&#7901;i nh&#7853;n"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Yes"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","&#272;&acirc;y l&agrave; n&#7897;i dung tin nh&#7855;n k&egrave;m theo khi b&#7841;n mua s&#7843;n ph&#7849;m t&#7863;ng cho ng&#432;&#7901;i th&acirc;n. N&#7897;i dung tin nh&#7855;n l&agrave; y&#7871;u t&#7889; c&#7847;n thi&#7871;t &#273;&#7875; ng&#432;&#7901;i nh&#7853;n hi&#7875;u r&otilde; m&#7909;c &#273;&iacute;ch v&agrave; gi&aacute; tr&#7883; c&#7911;a qu&agrave; t&#7863;ng, do &#273;&oacute; b&#7841;n h&atilde;y c&#7849;n tr&#7885;ng khi bi&ecirc;n so&#7841;n n&#7897;i dung. N&#7897;i dung n&agrave;y b&#7841;n c&oacute; th&#7875; &#273;&#7875; tr&#7889;ng, ch&uacute;ng t&ocirc;i s&#7869; th&#7921;c hi&#7879;n giao s&#7843;n ph&#7849;m t&#7853;n n&#417;i.."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","&#272;&acirc;y l&agrave; n&#7897;i dung tin nh&#7855;n k&egrave;m theo khi b&#7841;n mua s&#7843;n ph&#7849;m t&#7863;ng cho ng&#432;&#7901;i th&acirc;n. N&#7897;i dung tin nh&#7855;n l&agrave; y&#7871;u t&#7889; c&#7847;n thi&#7871;t &#273;&#7875; ng&#432;&#7901;i nh&#7853;n hi&#7875;u r&otilde; m&#7909;c &#273;&iacute;ch v&agrave; gi&aacute; tr&#7883; c&#7911;a qu&agrave; t&#7863;ng, do &#273;&oacute; b&#7841;n h&atilde;y c&#7849;n tr&#7885;ng khi bi&ecirc;n so&#7841;n n&#7897;i dung. N&#7897;i dung n&agrave;y b&#7841;n c&oacute; th&#7875; &#273;&#7875; tr&#7889;ng, ch&uacute;ng t&ocirc;i s&#7869; th&#7921;c hi&#7879;n giao s&#7843;n ph&#7849;m t&#7853;n n&#417;i.."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","&#272;&acirc;y l&agrave; n&#7897;i dung tin nh&#7855;n k&egrave;m theo khi b&#7841;n mua s&#7843;n ph&#7849;m t&#7863;ng cho ng&#432;&#7901;i th&acirc;n. N&#7897;i dung tin nh&#7855;n l&agrave; y&#7871;u t&#7889; c&#7847;n thi&#7871;t &#273;&#7875; ng&#432;&#7901;i nh&#7853;n hi&#7875;u r&otilde; m&#7909;c &#273;&iacute;ch v&agrave; gi&aacute; tr&#7883; c&#7911;a qu&agrave; t&#7863;ng, do &#273;&oacute; b&#7841;n h&atilde;y c&#7849;n tr&#7885;ng khi bi&ecirc;n so&#7841;n n&#7897;i dung. N&#7897;i dung n&agrave;y b&#7841;n c&oacute; th&#7875; &#273;&#7875; tr&#7889;ng, ch&uacute;ng t&ocirc;i s&#7869; th&#7921;c hi&#7879;n giao s&#7843;n ph&#7849;m t&#7853;n n&#417;i.."
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
"Your gift message successfully removed","Your gift message successfully removed"
"Your gift message successfully saved","Your gift message successfully saved"
