"(Make sure you keep it in a safe place.)","(H&atilde;y ch&#7855;c ch&#7855;n r&#7857;ng b&#7841;n gi&#7919; n&oacute; trong m&#7897;t n&#417;i an to&agrave;n.)"
"(Optional. Leave blank for no prefix)","(Optional. Leave blank for no prefix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Nh&#7853;p &#273;&#7883;a ch&#7881; c&#7847;n thi&#7871;t &#273;&#7875; login v&agrave;o admin (v&iacute; d&#7909; nh&#432; www.domain.com/quantri th&igrave; b&#7841;n nh&#7853;p quantri v&agrave;o &ocirc; n&agrave;y)."
"Admin Path","&#272;&#7883;a ch&#7881; v&agrave;o admin"
"After successfull installation please click the button below.","After successfull installation please click the button below."
"All packages were installed successfully, click 'Ok' to continue with installation","All packages were installed successfully, click 'Ok' to continue with installation"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatively you could try the 'Manual Downloads and Upgrades' method."
"Base URL","&#272;&#7883;a ch&#7881; ch&iacute;nh c&#7911;a web"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Tuy nhi&ecirc;n, b&#7841;n h&atilde;y l&#432;u &yacute; r&#7857;ng, &#273;o&#7841;n m&atilde; h&oacute;a d&#432;&#7899;i &#273;&acirc;y r&#7845;t quan trong cho h&#7879; th&#7889;ng m&agrave; b&#7841;n v&ugrave;a c&agrave;i (n&oacute; li&ecirc;n quan t&#7899;i thanh to&aacute;n, n&acirc;ng c&#7845;p, kh&aacute;ch h&agrave;ng v&agrave; nhi&#7873;u h&#417;n n&#7919;a), h&atilde;y l&#432;u tr&#7919; c&#7849;n th&#7853;n n&oacute;.."
"Check out our","Check out our"
"Check this box only if it is not possible to automatically validate Base URL.","Check this box only if it is not possible to automatically validate Base URL."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required."
"Choose this if you would like to test frontend and backend functionality.","Choose this if you would like to test frontend and backend functionality."
"Configuration","C&#7845;u h&igrave;nh h&#7879; th&#7889;ng"
