"100 percent","Tuyệt vời"
"80 percent","Khá"
"60 percent","Cũng được"
"40 percent","Bình thường"
"20 percent","Không tốt lắm"
"1 star","1 &#273;i&#7875;m"
"2 stars","2 &#273;i&#7875;m"
"3 stars","3 &#273;i&#7875;m"
"4 stars","4 &#273;i&#7875;m"
"5 stars","5 &#273;i&#7875;m"
"Add New Rating","Add New Rating"
"Assigned Options","Assigned Options"
"Be the first to review this product","Be the first to review this product"
"Default Value","M&#7863;c &#273;&#7883;nh"
"Delete Rating","Delete Rating"
"Edit Rating","Edit Rating"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Qu&#7843;n l&yacute; thang &#273;i&#7875;m"
"New Rating","New Rating"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Rating Information"
"Rating Name","Rating Name"
"Rating Options","Rating Options"
"Rating Title","Rating Title"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Rating with the same title"
"Save Rating","Save Rating"
"Visible In","Visible In"
