"%d Review(s)","(%d Nh&#7853;n x&eacute;t)"
"%s Review(s)","(%s Nh&#7853;n x&eacute;t)"
"(Posted on %s)","(Vi&#7871;t ng&agrave;y %s)"
"1 star","1 &#273;i&#7875;m"
"2 stars","2 &#273;i&#7875;m"
"3 stars","3 &#273;i&#7875;m"
"4 stars","4 &#273;i&#7875;m"
"5 stars","5 &#273;i&#7875;m"
"Add New Review","Th&ecirc;m nh&#7853;n x&eacute;t"
"Add Your Review","Th&ecirc;m nh&#7853;n x&eacute;t"
"Administrator","Administrator"
"All Reviews","All Reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Trung b&igrave;nh c&oacute;"
"Average Customer Rating:","Trung b&igrave;nh c&oacute;:"
"Back","Back"
"Back to Main Product Info","Quay l&#7841;i trang s&#7843;n ph&#7849;m"
"Back to My Reviews","Quay l&#7841;i trang th&#7843;o lu&#7853;n"
"Back to Product Reviews","Quay l&#7841;i"
"Be the first to review this product","&#272;&aacute;nh gi&aacute;"
"Created On","Vi&#7871;t ng&agrave;y"
"Customer","Customer"
"Customer Reviews", "Nhận xét của khách hàng"
"Delete","Delete"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","Theo b&#7841;n s&#7843;n ph&#7849;m n&agrave;y &#273;&#7841;t bao nhi&ecirc;u &#273;i&#7875;m"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","S&#7843;n ph&#7849;m th&#7843;o lu&#7853;n"
"My Recent Reviews","M&#7899;i th&#7843;o lu&#7853;n"
"Name","Name"
"Name In Store","Name In Store"
"New Review","New Review"
"Nickname","T&ecirc;n c&#7911;a b&#7841;n"
"Pending Reviews","Pending Reviews"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Ng&#432;&#7901;i vi&#7871;t"
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Product Rating","&#272;i&#7875;m cho s&#7843;n ph&#7849;m"
"Product Rating:","&#272;i&#7875;m cho s&#7843;n ph&#7849;m:"
"Product Review (submitted on %s):","N&#7897;i dung trao &#273;&#7893;i (vi&#7871;t %s):"
"Product Reviews","Nội dung trao đổi"
"Product SKU","Product SKU"
"Qty","Qty"
"Rating:","Rating:"
"Review","N&#7897;i dung"
"Review Details","Xem chi ti&#7871;t"
"Review by <span>%s</span>", "Ng&#432;&#7901;i vi&#7871;t <span>%s</span>"
"Reviews and Ratings","Nh&#7853;n x&eacute;t &amp; &#272;&aacute;nh gi&aacute;"
"SKU","SKU"
"Save Review","L&#432;u nh&#7853;n x&eacute;t"
"Status","Tr&#7841;ng th&aacute;i"
"Store Views","Store Views"
"Submit Review","G&#7903;i &#273;i"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","Ti&ecirc;u &#273;&#7873;"
"Summary of review","Ti&ecirc;u &#273;&#7873;"
"Title","Title"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","View All Reviews"
"View Details","Xem chi ti&#7871;t"
"Visible In","Visible In"
"Write Your Own Review","Đánh giá của bạn về sản phẩm này"
"You have submitted no reviews.","B&#7841;n ch&#432;a tham gia th&#7843;o lu&#7853;n cho s&#7843;n ph&#7849;m n&agrave;o tr&ecirc;n h&#7879; th&#7889;ng website n&agrave;y."
"You're reviewing: %s","B&#7841;n &#273;ang xem x&eacute;t: %s"
"Your Rating:","&#272;&#7841;t &#273;i&#7875;m:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation","B&agrave;i &#273;&aacute;nh gi&aacute; c&#7911;a b&#7841;n &#273;&atilde; &#273;&#432;&#7907;c g&#7903;i &#273;i."
