" The customer doesn\'t exist in the system anymore"," The customer doesn\'t exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" coupon code is not valid."
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"(Total Shipping Charges %s)","(Total Shipping Charges %s)"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","About This Order:"
"About Your Order","About Your Order"
"Account Information","Account Information"
"Action","Action"
"Actions","Actions"
"Add","Add"
"Add New Address","ATh&ecirc;m &#273;&#7883;a ch&#7881; m&#7899;i"
"Add Order Comments","Th&ecirc;m  nh&#7853;n x&eacute;t v&agrave;o &#273;&#417;n h&agrave;ng"
"Add Products","Th&ecirc;m Sản phẩm"
"Add Selected Product(s) to Option","Th&ecirc;m t&ugrave;y ch&#7885;n cho Sản phẩm &#273;ang ch&#7885;n"
"Add Selected Product(s) to Order","Th&ecirc;m &#273;&#417;n h&agrave;ng cho Sản phẩm &#273;ang ch&#7885;n"
"Add To Order","Th&ecirc;m v&agrave;o &#273;&#417;n h&agrave;ng"
"Add Tracking Number","Th&ecirc;m s&#7889; theo d&otilde;i"
"Add a gift message for <strong>each gift item</strong>","Add a gift message for <strong>each gift item</strong>"
"Add a gift message for the <strong>entire order</strong>","Add a gift message for the <strong>entire order</strong>"
"Add comment to order","Th&ecirc;m v&agrave;o b&igrave;nh lu&#7853;n v&agrave;o &#273;&#417;n  h&agrave;ng"
"Add new comment to shipment","B&igrave;nh lu&#7853;n cho l&ocirc; h&agrave;ng"
"Add new tracking number","Add new tracking number"
"Add to Cart","Th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng"
"Address","&#272;&#7883;a ch&#7881;"
"Adjustment Fee","&#272;i&#7873;u Ch&#7881;nh Ph&iacute;"
"Adjustment Fee:","&#272;i&#7873;u Ch&#7881;nh Ph&iacute;:"
"Adjustment Refund","&#272;i&#7873;u ch&#7881;nh ho&agrave;n ph&iacute;"
"Adjustment Refund:","&#272;i&#7873;u ch&#7881;nh ho&agrave;n ph&iacute;:"
"Allow Reorder","Cho ph&eacute;p &#273;&#7863;t h&agrave;ng l&#7841;i"
"Amount","S&#7889; l&#432;&#7907;ng"
"Append Comments","Th&ecirc;m Comments"
"Apply","Apply"
"Apply Coupon Code","&Aacute;p d&#7909;ng phi&#7871;u mua h&agrave;ng"
"Are you sure you want to cancel this order?","B&#7841;n c&oacute; ch&#7855;c l&agrave; b&#7841;n mu&#7889;n h&#7911;y b&#7887; l&#7879;nh n&agrave;y?"
"Are you sure?","Are you sure?"
"Are you sure? This order will be cancelled and a new one will be created instead","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n? L&#7879;nh n&agrave;y s&#7869; &#273;&#432;&#7907;c h&#7911;y b&#7887; v&agrave; m&#7897;t &#273;&#417;n h&agrave;ng m&#7899;i s&#7869; &#273;&#432;&#7907;c t&#7841;o l&#7841;i khi c&#7847;n thi&#7871;t"
"Back to My Orders","Quay tr&#7903; l&#7841;i &#273;&#417;n &#273;&#7863;t h&agrave;ng c&#7911;a t&ocirc;i"
"Backordered","Backordered"
"Bill to First name","T&ecirc;n tr&ecirc;n h&oacute;a &#273;&#417;n"
"Bill to Last name","H&#7885; v&agrave; t&ecirc;n &#273;&#7879;m tr&ecirc;n h&oacute;a &#273;&#417;n"
"Bill to Name","Bill to Name"
"Billing Address","&#272;&#7883;a ch&#7881; thanh to&aacute;n"
"Can not add order history.","Kh&ocirc;ng th&#7875; th&ecirc;m h&oacute;a &#273;&#417;n v&agrave;o l&#432;u tr&#7919;."
