"# of Uses","# of Uses"
"Action","Action"
"Actions","Actions"
"Add New Tag","T&ecirc;m Tag m&#7899;i"
"Add Tags","T&ecirc;m Tag m&#7899;i"
"Add Your Tags:","Tags c&#7911;a b&#7841;n:"
"Add to Cart","Th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng"
"Add to Wishlist","Add to Wishlist"
"All Tags","T&#7845;t c&#7843; Tags"
"Approved","Ch&#7845;p thu&#7853;n"
"Are you sure that you want to delete this tag?","B&#7841;n c&oacute; ch&#7855;c r&#7857;ng b&#7841;n mu&#7889;n x&oacute;a Tag n&agrave;y?"
"Are you sure you want to delete this tag?","B&#7841;n c&oacute; ch&#7855;c r&#7857;ng b&#7841;n mu&#7889;n x&oacute;a Tag n&agrave;y?"
"Are you sure you want to do this?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n l&agrave;m &#273;i&#7873;u n&agrave;y?"
"Are you sure?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n kh&ocirc;ng?"
"Back","Quay l&#7841;i"
"Back to Tags List","Quay l&#7841;i danh s&aacute;ch Tags"
"Back to view Tag","Quay l&#7841;i xem Tag"
"Block Information","Th&ocirc;ng tin Block"
"CSV","CSV"
"Change status","&#272;&#7893;i t&igrave;nh tr&#7841;ng"
"Click on a tag to view your corresponding products.","Click v&agrave;o m&#7897;t t&#7915; kh&oacute;a &#273;&#7875; xem s&#7843;n ph&#7849;m t&#432;&#417;ng &#7913;ng c&#7911;a b&#7841;n."
"Country","Qu&#7889;c gia"
"Customer Since","K&#7875; t&#7915; kh&aacute;ch h&agrave;ng"
"Customers","Kh&aacute;ch h&agrave;ng"
"Customers Tagged '%s'","Tag c&#7911;a kh&aacute;ch h&agrave;ng '%s'"
"Delete","X&oacute;a"
"Delete Tag","X&oacute;a Tag"
"Disabled","Disabled"
"Edit Tag","Edit Tag"
"Edit Tag '%s'","S&#7917;a Tag '%s'"
"Email","Email"
"First Name","T&ecirc;n"
"General Information","Th&ocirc;ng tin chung"
"Grid","Grid"
"ID","ID"
"Last Name","H&#7885; v&agrave; t&ecirc;n &#273;&#7879;m"
"List","List"
"My Recent Tags","Tags c&#7911;a t&ocirc;i g&#7847;n &#273;&acirc;y"
"My Tags","Tags c&#7911;a t&ocirc;i"
"Name","T&ecirc;n"
"New Tag","Tag m&#7899;i"
"No matches found.","Kh&ocirc;ng c&oacute; k&#7871;t qu&#7843; ph&ugrave; h&#7907;p &#273;&#432;&#7907;c t&igrave;m th&#7845;y."
"Other people marked this product with these tags:","Nh&#7919;ng ng&#432;&#7901;i kh&aacute;c &#273;&aacute;nh d&#7845;u s&#7843;n ph&#7849;m n&agrave;y v&#7899;i c&aacute;c Tag:"
"Pending","Ch&#7901; duy&#7879;t"
"Pending Tags","Tags Ch&#7901; duy&#7879;t"
"Popular","Ph&#7893; bi&#7871;n"
"Popular Tags","Tags Ph&#7893; bi&#7871;n"
"Popularity","Ph&#7893; bi&#7871;n"
"Price","Gi&aacute;"
"Product Name","T&ecirc;n s&#7843;n ph&#7849;m"
"Product SKU","M&atilde; s&#7843;n ph&#7849;m"
"Product Tags","Tags cho s&#7843;n ph&#7849;m"
"Products","S&#7843;n ph&#7849;m"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","L&#432;u Tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Status","T&igrave;nh tr&#7841;ng"
"Tag","Tag"
"Tag Information","Th&ocirc;ng tin Tag"
"Tag Name","T&ecirc;n Tag"
"Tag Name: %s","T&ecirc;n Tag: %s"
"Tag can\'t be empty.","Tag kh&ocirc;ng th&#7875; &#273;&#7875; tr&#7889;ng."
"Tagged in","Tagged in"
"Tags","Tags"
"Tags Aren't Available","Tags kh&ocirc;ng c&oacute; s&#7861;n"
"Tags:","Tags:"
"Telephone","&#272;i&#7879;n tho&#7841;i"
"Thank you. Your tag has been accepted for moderation.","C&#7843;m &#417;n b&#7841;n. Tag c&#7911;a b&#7841;n &#273;&atilde; &#273;&#432;&#7907;c ch&#7845;p nh&#7853;n cho ki&#7875;m duy&#7879;t."
"Unable to find any products tagged with '%s' in the current store","Kh&ocirc;ng th&#7875; t&igrave;m th&#7845;y b&#7845;t k&#7923; s&#7843;n ph&#7849;m n&agrave;o &#273;&#432;&#7907;c g&#7855;n tag '%s' trong  c&#7917;a h&agrave;ng hi&#7879;n t&#7841;i"
"Unable to remove tag. Please, try again later.","Kh&ocirc;ng th&#7875; g&#7905; b&#7887; Tag. Xin vui l&ograve;ng, h&atilde;y th&#7917; l&#7841;i sau."
"Unable to save tag(s)","Kh&ocirc;ng th&#7875; l&#432;u"
"Unable to save your tag. Please, try again later.","Kh&ocirc;ng th&#7875; l&#432;u tag. Xin vui l&ograve;ng, h&atilde;y th&#7917; l&#7841;i sau."
"Use spaces to separate tags. Use single quotes (') for phrases.","Tag ph&acirc;n bi&#7879;t b&#7857;ng kho&#7843;ng tr&#259;ng. S&#7917; d&#7909;ng m&#7897;t d&#7845;u ngo&#7863;c k&eacute;p (') cho c&aacute;c c&#7909;m t&#7915;."
"Uses","Uses"
"View All Tags","Xem t&#7845;t c&#7843; c&aacute;c Tag"
"View Customers","Xem kh&aacute;ch h&agrave;ng"
"View Products","Xem s&#7843;n ph&#7849;m"
"Visible In","Visible In"
"XML","XML"
"You have not tagged any products yet.","B&#7841;n ch&#432;a g&aacute;n Tag cho b&#7845;t k&#7923; s&#7843;n ph&#7849;m n&agrave;o."
"You tag was successfully deleted","Tag c&#7911;a b&#7841;n  &#273;&atilde; &#273;&#432;&#7907;c x&oacute;a"
"You tag was successfully saved","Tag c&#7911;a b&#7841;n  &#273;&atilde; &#273;&#432;&#7907;c l&#432;u"
"Your tag(s) have been accepted for moderation","Tag c&#7911;a b&#7841;n &#273;&atilde; &#273;&#432;&#7907;c ch&#7845;p nh&#7853;n"
"ZIP/Post Code","ZIP/Post Code"
