"Sales","Bán hàng"
"Orders","Đặt hàng"
"Invoices","Hóa đơn"
"Tax","Thuế"
"Manage Tax Rules","Quản lý quy tắc thuế"
"Manage Tax Rates","Quản lý thuế suất"
"Import / Export Tax Rates","Nhập / Xuất Thuế suất"
"Customer Tax Classes","Nhóm thuế khách hàng"
"Product Tax Classes","Nhóm thuế Sản phẩm"
"Configuration","Cấu hình"
"Catalog","Catalog"
"Manage Products","Quản lý Sản phẩm"
"Manage Categories","Quản lý loại hàng"
"Attributes","Thuộc tính "
"Manage Attributes","Quản lý thuộc tính"
"Manage Attribute Sets","Quản lý bộ thuộc tính"
"reviews &amp; Ratings","Nhận xét &amp; Đánh giá"
"Customer reviews","Nhận xét khách hàng"
"Pending reviews","Nhận xét chưa hoàn tất"
"All reviews","Tất cả Nhận xét"
"Manage Ratings","Quản lý Đánh giá"
"Tags","Thẻ"
"Pending Tags","Thẻ treo"
"All Tags","Tổng thẻ"
"Customers' Tags","Thẻ khách hàng"
"Products' Tags","Thẻ Sản phẩm"
"Search","Tìm"
"Datafeeds","Nguồn dữ liệu"
"Dashboard","Bảng theo dõi"
"Customers","Khách hàng"
"Manage Customers","Quản lý khách hàng"
"Customer Groups","Nhóm khách hàng"
"Online Customers","Khách hàng online"
"Promotions","Khuyến mãi"
"Catalog Price Rules","Quy tắc Giá Catalog"
"Shopping Cart Price Rules","Quy tắc Giá Giỏ hàng"
"CMS","CMS"
"Manage Pages","Quản lý trang "
"Static Blocks","Khối tĩnh"
"Poll Manager","Quản lý thăm dò"
"Newsletter","Thư báo"
"Newsletter Templates","Mẫu thư báo"
"Subscribers","Người đăng ký"
"Newsletter Queue","Hàng đợi thư báo"
"Newsletter Problem Reports","Báo cáo trục trặc thư báo"
"Reports","Báo cáo "
"Sales Report","Báo cáo bán hàng"
"Shopping Cart Report","Báo cáo Giỏ hàng"
"Products","Sản phẩm"
"Products Report","Báo cáo Sản phẩm"
"Coupons Reports","Báo cáo phiếu mua hàng"
"Wishlist Report","Báo cáo Danh sách yêu thích"
"Reviews Report","Báo cáo Nhận xét"
"Customers reviews","Nhận xét của khách hàng"
"Products reviews","Nhận xét Sản phẩm"
"Tags Report","Báo cáo thẻ"
"Products (Total)","Sản phẩm (Tổng)"
"Popular","Phổ biến"
"Search Report","Báo cáo Tìm kiếm"
"Best Customers","Khách hàng thân thiết"
"Recent Orders","Đơn hàng gần đây"
"Order Totals","Tổng số đơn hàng"
"System","Hệ thống"
"My Account","Tài khoản"
"Tools","Công cụ"
"Backups","Sao lưu"
"Manage Currency","Quản lý tiền tệ"
"Transactional Emails","Email giao dịch"
"Permissions","Quyền"
"Users","Người dùng"
"Roles","Vai trò"
"Invoice Information","Thông tin hóa đơn"
"Store Name","Tên cửa hàng"
"Create Backup","Sao lưu"
"Title","Tựa đề"
"Add New User","Thêm người dùng"
"Unknown","Không rõ"
"View Order","Xem đơn hàng"
"Number of Unique Tags","Số loại thẻ duy nhất"
"State/Province","Tỉnh thành"
"No Newsletter Found","Không có thư báo nào"
"Session Start Time","Thời điểm bắt đầu phiên"
"Edit Queue","Sửa hàng đợi"
"Edit review '%s'","Sửa Nhận xét '%s'"
"Comparable","So sánh được"
"Number of reviews","Số Nhận xét"
"Block Title","Tên khối"
"Add New","Thêm mới"
"Add New Image","Thêm Hình"
"Unable to find a user to delete","Không thấy người dùng để xóa"
"Related Products","Sản phẩm liên quan"
"Sản phẩm in Cart","Hàng trong Giỏ"
"This user no longer exists","Người dùng không còn tồn tại"
"Shipping Method","Phương thức vận chuyển"
"Signed Up From","Đăng ký từ"
"Cancel Order","Hủy đặt hàng"
"Can be used only with catalog input type Dropdown","Chỉ được sử dụng khi nhập Catalog kiểu Thả xuống"
"Error while deleting this rate. Please try again later.","Có lỗi khi xóa mức này. Hãy thử lại sau."
"Save Account","Lưu tài khoản"
"Shopcart Products","Sản phẩm trong Giỏ"
"Addresses","Địa chỉ"
"Number Purchased","Số đã mua"
"Rule Name","Tên Quy tắc "
"You cannot delete this attribute","Bạn không thể xóa thuộc tính này"
"List only","Chỉ liệt kê"
"Last Modified","Sửa lần cuối"
"Reset Filter","Đặt lại bộ lọc"
"Please make sure that all global admin search modules are installed and activated.","Đảm bảo mọi phân hệ quản trị tìm kiếm toàn bộ đã được cài đặt và kích hoạt."
"Global","Toàn bộ"
"New Address","Địa chỉ mới"
"Delete Category","Xóa Loại hàng"
"Tag","Thẻ"
"Are you sure you want to delete this attribute set?","Bạn có muốn xóa bộ thuộc tính này không?"
"Physical Products","Sản phẩm thực"
"Created at","Được tạo ở"
"User Roles Information","Thông tin vai trò người dùng"
"Currency Information","Thông tin tiền tệ"
"Carts","Giỏ hàng"
"Attribute Label","Nhãn thuộc tính"
"Credit Memo Information","Thông tin Phiếu cấn trừ tiền"
"Error Code","Mã lỗi"
"Product attribute was successfully saved","Thuộc tính Sản phẩm đã được lưu"
"Tag Detail","Chi tiết thẻ"
"State","Vùng"
"Website was successfully saved","Trang web đã được lưu"
"Delete Address","Xóa Địa chỉ"
"Error while deleting this tax class. Please, try again later.","Có lỗi khi xóa Nhóm thuế. Hãy thử lại sau."
"Unique Value (not shared with other products)","Giá trị độc nhất (không dùng chung với Sản phẩm khác)"
"The invoice you are trying to create credit memo for no longer exists","Hóa đơn bạn đang tạo Phiếu cấn trừ tiền không còn tồn tại"
"Edit Tag '%s'","Sửa thẻ '%s'"
"Rating Options","Tuỳ chọn Đánh giá"
"Add Attribute","Thêm Thuộc tính"
"Error while saving this group. Please try again later.","Có lỗi khi lưu nhóm khách hàng này. Hãy thử lại sau."
"Summary of review","Tóm lược Nhận xét"
"Cancel","Hủy bỏ"
"HTML","HTML"
"New Invoice for Order #%s","Hóa đơn mới cho Đơn hàng #%s"
"Add Tier","Thêm Bậc"
"Role Resources","Tài nguyên cho vai trò"
"Edit Tax Rule","Sửa Quy tắc thuế"
"Qty Backordered","Số lượng đặt hàng chờ"
"Subscribed to Newsletter?","Đăng ký Thư báo?"
"Categories","Loại hàng"
"Up-sells","Bán lên"
"Add New Attribute","Thêm Thuộc tính"
"Tax Amount","Tiền thuế"
"Stop further rules processing","Ngưng xử lý quy tắc"
"Parent Category","Thư mục gốc"
"New Block","Khối mới"
"This account is","Tài khoản này là"
"Unable to get product id.","Không lấy được mã Sản phẩm."
"Add Selected Product to Order","Thêm Sản phẩm đã chọn vào đơn hàng"
"Language","Ngôn ngữ"
"Products Report (Total)","Báo cáo Sản phẩm (Tổng)"
"Default config","Cấu hình mặc định"
"Page Status","Trạng thái trang"
"Order #","# Đơn hàng"
"Save Block","Lưu khối"
"View Products","Xem Sản phẩm"
"Last Name","Họ"
"Backend Table","Bảng Hậu cứ"
"Back","Trở lại"
"Customer with the same email already exists.","Khách hàng có cùng email đã tồn tại."
"ZIP/Postal Code","Mã khu vực/bưu điện"
"Visitors Only","Chỉ cho khách"
"New Group","Nhóm mới"
"Date Added","Ngày thêm"
"Home","Trang chủ"
"Attrib. Set Name","Tên bộ thuộc tính"
"Zip/Post Code","Mã khu vực/bưu điện"
"No Templates Found","Không thấy mẫu nào"
"Role Info","Thông tin vai trò"
"Edit Poll '%s'","Sửa Thăm dò '%s'"
"New Customer","Khách hàng mới"
"Group","Nhóm "
"Poll Question","Câu hỏi thăm dò"
"Error while saving account. Please, try again later","Có lỗi khi lưu tài khoản. Hãy thử lại sau"
"Add New Poll","Thêm Thăm dò"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Dòng #%s trùng lặp (Quốc gia ""%s"", Vùng/Miền ""%s"", Khu vực ""%s"" và Giá trị ""%s"")"
"Header Text","Dòng tiêu đề"
"Invalid file upload attempt","Tải tập tin lên không hợp lệ"
"The order you are trying to create invoice for no longer exists","Đơn đặt hàng đang tính hóa đơn không tồn tại"
"Shipped to Last Name","Vận chuyển - Họ"
"Votes Count","Đếm phiếu"
"Edit User","Sửa người dùng"
"Add New Tax Rate","Thêm Thuế suất"
"Status","Trạng thái"
"Edit Poll Answer","Sửa Giải đáp thăm dò"
"This user already added to the role.","Người dùng đã được gán vai trò này."
"Save Attribute","Lưu thuộc tính"
"User ID","Mã người dùng "
"Do you really want to cancel the queue?","Bạn có muốn hủy bỏ hàng đợi không?"
"Save Rate","Lưu mức"
"Queue Start","Bắt đầu Hàng đợi"
"Cross-sells","Bán chéo"
"Delete Rating","Xóa Đánh giá"
"Import Rates From www.webservicex.net","Nhập thuế suất từ www.webservicex.net"
