"Proceed to Checkout","Tiến hành thanh toán"
"Checkout method","Phương thức thanh toán"
"Please select shipping methods for all addresses","Hãy chọn phương thức vận chuyển cho mọi địa chỉ"
"Shipping Methods","Phương thức vận chuyển"
"Payment method is not defined","Chưa định nghĩa phương thức thanh toán"
"State/Province","Tỉnh thành"
"Please specify the product option(s)","Hãy xác lập lựa chọn Sản phẩm"
"Edit Shipping Address","Sửa địa chỉ vận chuyển"
"Order Success","Đặt hàng thành công"
"Create Billing Address","Tạo địa chỉ thanh toán"
"Checkout","Thanh toán"
"Invalid data","Dữ liệu không hợp lệ"
"Edit Address","Sửa địa chỉ"
"Order review","Nhận xét đƠn hàng"
"Billing Information","Thông tin thanh toán"
"Place Order","Đặt hàng"
"Change Billing Address","Đổi địa chỉ thanh toán"
"Select Addresses","Chọn các địa chỉ"
"Shipping Method","Phương thức vận chuyển"
"Indefinite product type","Kiểu Sản phẩm không xác định"
"Cannot remove item","Không thể bỏ Sản phẩm"
"Total for this address","Tổng số cho địa chỉ này"
"Product does not exist","Sản phẩm không tồn tại"
"Country","Quốc gia"
"Clear","Xóa"
"Shipping Information","Thông tin vận chuyển"
"Create Shipping Address","Tạo địa chỉ vận chuyển "
"Edit Billing Address","Sửa địa chỉ thanh toán"
"Some of the products you requested are not available in the desired quantity","Một số Sản phẩm bạn yêu cầu không có đủ số lượng mong muốn"
"Some of the products you requested are unavailable","Một số Sản phẩm bạn yêu cầu đã hết hàng"
"My Cart (%d item)","Giỏ hàng (%d Sản phẩm)"
"Cannot update shopping cart","Không thể cập nhật Giỏ hàng"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
"Ship to Multiple Addresses","Vận chuyển đến nhiều địa chỉ"
"My Cart","Giỏ hàng"
"review Order","Nhận xét đơn hàng"
"The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s).","Sản phẩm hàng đánh dấu đỏ không còn đủ số lượng mong muốn. Hãy cập nhật số lượng Sản phẩm hàng."
"This product is out of stock","Sản phẩm này đã hết"
"Payment Information","Thông tin thanh toán"
"Requested quantity is not available","Không có đủ số lượng theo yêu cầu"
"Cannot move item to wishlist","Không thể chuyển Sản phẩm vào Danh sách mong ước"
"My Cart (%s item)","Giỏ hàng (%s Sản phẩm)"
"My Cart (%s Sản phẩm)","Giỏ hàng (%s Sản phẩm)"
"There is already a customer registered using this email address","Có một khách hàng đã đăng ký đang sử dụng email này"
"Send to","Gửi đến"
"Remove Item","Bỏ Sản phẩm"
"Based on your selection, you may be interested in the following Sản phẩm:","Dựa trên lựa chọn của bạn, có thể bạn cũng quan tâm đến những Sản phẩm sau:"
"Thank you for your purchase!","Cảm ơn quý khách đã mua hàng!"
"&laquo; Back to Select Addresses","&laquo; Trở lại Lựa chọn địa chỉ"
"Submitting order information...","Gửi thông tin đặt hàng…"
"Get a Quote","Xem báo giá"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn lấy Sản phẩm này khỏi Giỏ hàng không?"
"Fax","Fax"
"Loading next step...","Tải bước kế tiếp…"
"Company","Công ty"
"Apply Coupon","Áp dụng"
"Already registered?","Đã đăng ký?"
"Subtotal","Tổng số phụ"
"Register","Đăng ký"
"Continue to Billing Information","Tiếp tục"
"Your order # is: %s.","Số đơn hàng của bạn là: %s."
"Select Shipping Method","Chọn phương thức vận chuyển"
"Update Shopping Cart","Cập nhật Giỏ hàng"
"Select Address","Chọn địa chỉ"
"Telephone","Điện thoại"
"Shipping method has not been selected yet","Phương thức vận chuyển chưa được chọn"
"You have no Sản phẩm in your shopping cart.","Bạn không có Sản phẩm nào trong Giỏ hàng."
"&laquo; Back to Shopping Cart","&laquo; Về Giỏ hàng"
"Confirm Password","Xác nhận mật mã"
"Estimate Shipping and Tax","Ước tính phí vận chuyển và thuế"
"Last added Sản phẩm","Sản phẩm mới được thêm"
"Log in below to take advantage of Express Checkout:","Đăng nhập phía dưới để tận dụng thanh toán cấp tốc:"
"Continue to Success","Tiếp tục để hoàn thành"
"Billing Address","Địa chỉ thanh toán"
"Go to Cart","Đến Giỏ hàng"
"Select a shipping address from your address book or enter a new address.","Chọn một địa chỉ giao nhận từ sổ hoặc nhập một địa chỉ mới."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được email xác nhận chi tiết đơn hàng và đường dẫn để theo dõi tiến trình xử lý."
"Your Checkout Progress","Tiến trình thanh toán "
"&laquo; Back to Billing Information","&laquo; Trở lại Thông tin Thanh toán"
"&laquo; Back to Shipping Information","&laquo; Trở lại Thông tin vận chuyển"
"You may check out as a guest or register with us for future convenience:","Bạn có thể thanh toán như khách vãng lai hoặc đăng ký để thuận lợi hơn lần sau:"
"Continue Shopping","Tiếp tục mua sắm"
"Zip/Postal Code","Mã khu vực/bưu điện"
"Update Qty &amp; Addresses","Cập nhật"
"Product Name","Tên Sản phẩm"
"Your order number is %s","Số đơn hàng của bạn là %s"
"* Required Fields","* Trường bắt buộc"
"Sản phẩm","Sản phẩm"
"Continue to Shipping Information","Tiếp tục"
"Ship to this address","Giao đến địa chỉ này"
"Sorry, no quotes are available for this order at this time.","Xin lỗi, không có báo giá nào cho đơn đặt hàng vào lúc này."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Hãy nhập một mã khu vực hợp lệ. Ví dụ 90602 hay 90602-1234."
"Remove Product","Gỡ bỏ Sản phẩm"
"Last Name","Họ"
"Back","Trở về"
"Change Payment Method","Đổi phương thức thanh toán"
"Grand Total:","Tổng số:"
"Shipping to","Vận chuyển đến"
"Address %s of %s","Địa chỉ %s của %s"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Chúng tôi đang xử lý và bạn sẽ nhận được email với chi tiết đơn đặt hàng. Khi đơn hàng đã được chuyển bạn sẽ nhận được email khác có đường kết nối để giúp theo dõi diễn tiến."
"Change Shipping Method","Đổi phương thức vận chuyển"
"Shopping Cart","Giỏ hàng"
"Forgot your password?","Quên mật mã?"
"Enter your destination to get a shipping estimate.","Nhập địa chỉ đến để ước tính phí vận chuyển."
"My Account","Tài khoản"
"Street Address","Địa chỉ đường"
"Shipping Address","Địa chỉ vận chuyển mặc định"
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh toán từ sổ hoặc nhập một địa chỉ mới."
"Continue to Overview","Tiếp tục đến Tổng quan"
"Please <a href=""%s"">continue shopping</a>.","Xin <a href=""%s"">mua hàng tiếp</a>."
"Edit Your Cart","Soạn Giỏ hàng"
"You have no Sản phẩm in your cart.","Bạn không có Sản phẩm nào trong Giỏ"
"Easy access to your order history and status","Dễ dàng truy cập tình trạng và theo dõi đặt hàng của bạn"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Fast and easy check out","Thanh toán dễ dàng và nhanh chóng"
"Use Billing Address","Dùng địa chỉ thanh toán"
"Add to Wishlist","Thêm vào Danh sách mong ước"
"My Cart - <a href=""%s"">%d item(s)</a>","Giỏ hàng - <a href=""%s"">%d Sản phẩm</a>"
"Move to Wishlist","Đưa vào danh sách yêu thích"
"Default Shipping","Vận chuyển mặc định"
"Checkout as a Guest or Register","Thanh toán kiểu Khách thường hoặc Đăng ký"
"Qty","Số lượng"
"Enter your coupon code if you have one.","Nhập mã phiếu mua hàng nếu có."
"Done","Xong"
"Close","Đóng"
"City","Tỉnh/thành"
"Card Verification Number Visual Reference","Số tham khảo ảnh để kiểm tra thẻ"
"First Name","Tên"
"Unit Price","Đơn vị giá"
"Please select region, state or province","Hãy chọn khu vực, vùng hoặc tỉnh thành"
"Product","Sản phẩm"
"Payment Method","Phương thức thanh toán"
"Price","Giá"
"Street Address 2","Địa chỉ 2"
"Address","Địa chỉ"
"Password","Mật mã"
"Update Total","Cập nhật tổng số"
"Change Shipping Address","Đổi địa chỉ vận chuyển"
"Email Address","Địa chỉ Email"
"Edit","Sửa"
"Add to Cart","Bỏ vào Giỏ"
"Edit Sản phẩm","Sửa Sản phẩm"
"Remove","Gỡ bỏ"
"Continue","Tiếp tục"
"Forgot an Item?","Quên một Sản phẩm?"
"Shopping Cart is Empty","Giỏ hàng rỗng"
"Login","Đăng nhập"
"Add New Address","Thêm Địa chỉ"
"Default Billing","Thanh toán mặc định"
"Enter a New Address","Nhập địa chỉ mới"
"Checkout as Guest","Thanh toán như Khách thường"
"Discount Codes","Mã giảm giá"
"Select State/Province...","Chọn Tỉnh thành…"
"Continue to review Your Order","Tiếp tục Nhận xét đơn đặt hàng"
"Your order has been received","Đã nhận được đơn đặt hàng của bạn"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Có <a href=""%s""><strong>%s sản phẩm</strong></a> trong giỏ hàng."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Có <a href=""%s""><strong>1 sản phẩm</strong></a> trong giỏ hàng."
"My Cart","Giỏ hàng"
"My Cart (%s item)","Giỏ hàng (%s sản phẩm)"
"My Cart (%s items)","Giỏ hàng (%s sản phẩm)"
"My Cart Link","Liên kết giỏ hàng"
"Cart Subtotal:","Tổng cộng:"
"%s was successfully added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"Ship to different address","Giao đến địa chỉ khác"
"Based on your selection, you may be interested in the following items:","Bạn cũng có thể mua thêm những sản phẩm tương ứng dưới đây:"
"Cancel Coupon","Không áp dụng"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không đúng."
"Coupon code ""%s"" was applied successfully.","Mã giảm giá ""%s"" đã được áp dụng."
"Coupon code was canceled successfully.","Mã giảm giá đã được hủy bỏ."
"Other items in your order","Những sản phẩm khác trong hóa đơn của bạn"
"Continue to Review Your Order","Tiếp tục"
"Please select shipping address for applicable items","Hãy chọn địa chỉ vận chuyển cho sản phẩm"
"Change","Sửa"
"Order Review","Xem lại hóa đơn"
"Your order # is: %s","Số hóa đơn của bạn là: %s"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">vào đây để in</a> một bản copy hóa đơn của bạn."
